Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),EMS:Cooling Controlled Load [](TimeStep),EMS:Heating Controlled Load [](TimeStep),EMS:Cooling Schedule Temperature [](TimeStep),EMS:Heating Schedule Temperature [](TimeStep),EMS:Cooling Setpoint Temperature [](TimeStep),EMS:Heating Setpoint Temperature [](TimeStep),EMS:Cooling Current Temperature [](TimeStep),EMS:Heating Current Temperature [](TimeStep),EMS:Cooling Power State [](TimeStep),EMS:Heating Power State [](TimeStep),EMS:Heating Volume [](TimeStep),EMS:Cooling Volume [](TimeStep),EMS:Indoor Air Temperature [](TimeStep),EMS:Occupant Count [](TimeStep),Whole Building:Facility Total HVAC Electric Demand Power [W](TimeStep),Whole Building:Facility Total Electric Demand Power [W](TimeStep),Facility:Facility Thermal Comfort ASHRAE 55 Simple Model Summer or Winter Clothes Not Comfortable Time [hr](TimeStep) 
 07/01  00:05:00,30.5,1258.3924299926503,0.0,80.6,60.8,80.6,60.8,78.67455449698966,78.67455449698966,1.0,0.0,0.0,1260.0,78.67455449698966,0.0,0.000007509401301000446,48784.43478591596,0.0 
 07/01  00:10:00,30.400000000000003,0.0,0.0,80.6,60.8,80.6,60.8,79.18275057036414,79.18275057036414,0.0,0.0,0.0,0.0,79.18275057036414,0.0,0.0000074779355017037068,48783.91600182571,0.0 
 07/01  00:15:00,30.300000000000006,0.0,0.0,80.6,60.8,80.6,60.8,79.51157056991826,79.51157056991826,0.0,0.0,0.0,0.0,79.51157056991826,0.0,0.000007454674397381563,48783.37365195906,0.0 
 07/01  00:20:00,30.200000000000004,0.0,0.0,80.6,60.8,80.34658849449247,61.05341150550754,79.78886672202448,79.78886672202448,0.0,0.0,0.0,0.0,79.78886672202448,0.0,0.000007437782217134866,48782.68423968848,0.0 
 07/01  00:25:00,30.099999999999999,0.0,0.0,80.6,60.8,80.35271199475261,61.047288005247398,79.93823921899325,79.93823921899325,0.0,0.0,0.0,0.0,79.93823921899325,0.0,0.000007426284282211937,48781.59739404958,0.0 
 07/01  00:30:00,30.0,0.0,0.0,80.6,60.8,80.35070851403907,61.04929148596091,80.04204917361679,80.04204917361679,0.0,0.0,0.0,0.0,80.04204917361679,0.0,0.000007419242716621394,48780.44009082814,0.0 
 07/01  00:35:00,29.9,0.0,0.0,80.6,60.8,80.36826461623545,61.031735383764559,80.11342542117885,80.11342542117885,0.0,0.0,0.0,0.0,80.11342542117885,0.0,0.00000741590062032653,48779.23537413145,0.0 
 07/01  00:40:00,29.799999999999998,0.0,0.0,80.6,60.8,80.36826461623545,61.031735383764559,80.16212786378186,80.16212786378186,0.0,0.0,0.0,0.0,80.16212786378186,0.0,5195.562321332476,53973.547293039126,0.0 
 07/01  00:45:00,29.699999999999997,1143.7207283037693,0.0,80.6,60.8,80.36826461623545,61.031735383764559,80.14858521700853,80.14858521700853,1.0,0.0,0.0,1260.0,80.14858521700853,0.0,4612.783793548508,53389.47505233964,0.0 
 07/01  00:50:00,29.599999999999999,2134.421858931178,0.0,80.6,60.8,80.36826461623545,61.031735383764559,80.17427937191846,80.17427937191846,1.0,0.0,0.0,1260.0,80.17427937191846,0.0,4550.582562560562,53325.99795469158,0.0 
 07/01  00:55:00,29.5,2072.220627938749,0.0,80.6,60.8,80.36826461623545,61.031735383764559,80.18632482214587,80.18632482214587,1.0,0.0,0.0,1260.0,80.18632482214587,0.0,4495.849676512784,53269.87996694487,0.0 
 07/01  01:00:00,29.4,2017.4877418846657,0.0,80.6,60.8,80.36826461623545,61.031735383764559,80.19183106097957,80.19183106097957,1.0,0.0,0.0,1260.0,80.19183106097957,0.0,4443.145008803771,53215.208551531905,0.0 
 07/01  01:05:00,29.291666666666666,1964.7830741678086,0.0,80.6,60.8,80.36826461623545,61.031735383764559,80.19233346327937,80.19233346327937,1.0,0.0,0.0,1260.0,80.19233346327937,0.0,4385.378320967016,53155.38876456265,0.0 
 07/01  01:10:00,29.183333333333335,1907.0163863219094,0.0,80.6,60.8,80.36826461623545,61.031735383764559,80.18889702973047,80.18889702973047,1.0,0.0,0.0,1260.0,80.18889702973047,0.0,0.000007456015484226341,48767.91736629568,0.0 
 07/01  01:15:00,29.074999999999997,0.0,0.0,80.6,60.8,80.36826461623545,61.031735383764559,80.1908040578344,80.1908040578344,0.0,0.0,0.0,0.0,80.1908040578344,0.0,0.000007467201505293054,48765.82545178493,0.0 
 07/01  01:20:00,28.96666666666667,0.0,0.0,80.6,60.8,80.36826461623545,61.031735383764559,80.18742575743466,80.18742575743466,0.0,0.0,0.0,0.0,80.18742575743466,0.0,0.0000074791865246609818,48763.732433070174,0.0 
 07/01  01:25:00,28.858333333333336,0.0,0.0,80.6,60.8,80.36826461623545,61.031735383764559,80.18002183923686,80.18002183923686,0.0,0.0,0.0,0.0,80.18002183923686,0.0,0.000007491854150047811,48761.638586002744,0.0 
 07/01  01:30:00,28.75,0.0,0.0,80.6,60.8,80.36826461623545,61.031735383764559,80.16943174389306,80.16943174389306,0.0,0.0,0.0,0.0,80.16943174389306,0.0,0.0000075051066109179109,48759.545071176544,0.0 
 07/01  01:35:00,28.641666666666667,0.0,0.0,80.6,60.8,80.36826461623545,61.031735383764559,80.156270907233,80.156270907233,0.0,0.0,0.0,0.0,80.156270907233,0.0,0.0000075188617118152999,48757.45219665501,0.0 
 07/01  01:40:00,28.533333333333336,0.0,0.0,80.6,60.8,80.36826461623545,61.031735383764559,80.14102797662864,80.14102797662864,0.0,0.0,0.0,0.0,80.14102797662864,0.0,0.0000075330503101079838,48755.35985242837,0.0 
 07/01  01:45:00,28.425000000000006,0.0,0.0,80.6,60.8,80.36826461623545,61.031735383764559,80.12401258686205,80.12401258686205,0.0,0.0,0.0,0.0,80.12401258686205,0.0,0.000007547614220118919,48753.26780994937,0.0 
 07/01  01:50:00,28.316666666666668,0.0,0.0,80.6,60.8,80.36826461623545,61.031735383764559,80.10549078005212,80.10549078005212,0.0,0.0,0.0,0.0,80.10549078005212,0.0,0.000007562504466080949,48751.175626034965,0.0 
 07/01  01:55:00,28.208333333333337,0.0,0.0,80.6,60.8,80.36826461623545,61.031735383764559,80.08561129371302,80.08561129371302,0.0,0.0,0.0,0.0,80.08561129371302,0.0,0.0000075656689426098019,48749.083005844506,0.0 
 07/01  02:00:00,28.1,0.0,0.0,80.6,60.8,80.36826461623545,61.031735383764559,80.06456572071801,80.06456572071801,0.0,0.0,0.0,0.0,80.06456572071801,0.0,0.000007540600399914682,48746.98951087366,0.0 
 07/01  02:05:00,28.0,0.0,0.0,80.6,60.8,80.36826461623545,61.031735383764559,80.0424629900715,80.0424629900715,0.0,0.0,0.0,0.0,80.0424629900715,0.0,0.0000075046957550165898,48745.01411684589,0.0 
 07/01  02:10:00,27.9,0.0,0.0,80.6,60.8,80.36826461623545,61.031735383764559,80.0196214438022,80.0196214438022,0.0,0.0,0.0,0.0,80.0196214438022,0.0,0.0000074776917255061948,48743.038923774926,0.0 
 07/01  02:15:00,27.800000000000006,0.0,0.0,80.6,60.8,80.36826461623545,61.031735383764559,79.99604870191954,79.99604870191954,0.0,0.0,0.0,0.0,79.99604870191954,0.0,0.0000074579203102919519,48741.06333300579,0.0 
 07/01  02:20:00,27.700000000000004,0.0,0.0,80.6,60.8,80.36826461623545,61.031735383764559,79.97179533042402,79.97179533042402,0.0,0.0,0.0,0.0,79.97179533042402,0.0,0.000007444070186776824,48739.08682979619,0.0 
 07/01  02:25:00,27.6,0.0,0.0,80.6,60.8,80.36826461623545,61.031735383764559,79.94688719695918,79.94688719695918,0.0,0.0,0.0,0.0,79.94688719695918,0.0,0.00000743509811170636,48737.109396493346,0.0 
 07/01  02:30:00,27.5,0.0,0.0,80.6,60.8,80.36826461623545,61.031735383764559,79.92137758033931,79.92137758033931,0.0,0.0,0.0,0.0,79.92137758033931,0.0,0.0000074301657864376138,48735.130828843205,0.0 
