# file...... eplus_load.csv
# date...... Sun May 28 15:53:34 2023
# user...... leaf
# host...... (null)
# target.... meter 24
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,measured_real_power,measured_reactive_power,measured_voltage_AB
2013-07-01 00:00:00 PDT,+75000.9999211,+14.9999785432,+417.347+234.178j
2013-07-01 00:01:00 PDT,+1,+15,+407.425+234.944j
2013-07-01 00:02:00 PDT,+1,+15,+407.43+234.949j
2013-07-01 00:03:00 PDT,+1,+15,+407.434+234.951j
2013-07-01 00:04:00 PDT,+1,+15,+407.434+234.951j
2013-07-01 00:05:00 PDT,+1,+15,+407.2+234.92j
2013-07-01 00:06:00 PDT,+53781.0919068,+14.9999540664,+408.096+230.716j
2013-07-01 00:07:00 PDT,+53781.0924015,+15,+408.096+230.716j
2013-07-01 00:08:00 PDT,+53781.0924015,+15,+408.096+230.716j
2013-07-01 00:09:00 PDT,+53781.0924015,+15,+408.096+230.716j
2013-07-01 00:10:00 PDT,+53781.0924015,+14.999999999,+408.018+230.669j
2013-07-01 00:11:00 PDT,+48785.4347859,+15,+407.966+231.078j
2013-07-01 00:12:00 PDT,+48785.4347859,+15,+407.966+231.078j
2013-07-01 00:13:00 PDT,+48785.4347859,+15,+407.966+231.078j
2013-07-01 00:14:00 PDT,+48785.4347859,+15,+407.97+231.082j
2013-07-01 00:15:00 PDT,+48785.4347859,+14.9999999994,+407.976+231.084j
2013-07-01 00:16:00 PDT,+48784.9160018,+15,+407.97+231.08j
2013-07-01 00:17:00 PDT,+48784.9160018,+15,+407.97+231.08j
2013-07-01 00:18:00 PDT,+48784.9160018,+15,+407.97+231.08j
2013-07-01 00:19:00 PDT,+48784.9160018,+15,+407.97+231.08j
2013-07-01 00:20:00 PDT,+48784.9160116,+14.9999993024,+407.975+231.074j
2013-07-01 00:21:00 PDT,+48784.373652,+15,+407.901+231.031j
2013-07-01 00:22:00 PDT,+48784.373652,+15,+407.901+231.031j
2013-07-01 00:23:00 PDT,+48784.373652,+15,+407.901+231.031j
2013-07-01 00:24:00 PDT,+48784.373652,+15,+407.901+231.031j
2013-07-01 00:25:00 PDT,+48784.3736455,+14.999970125,+407.853+231.001j
2013-07-01 00:26:00 PDT,+48783.6842397,+15,+407.853+231.001j
2013-07-01 00:27:00 PDT,+48783.6842397,+15,+407.853+231.001j
2013-07-01 00:28:00 PDT,+48783.6842397,+15,+407.853+231.001j
2013-07-01 00:29:00 PDT,+48783.6842397,+15,+407.853+231.001j
2013-07-01 00:30:00 PDT,+48783.6842213,+14.9999146278,+407.895+231.036j
2013-07-01 00:31:00 PDT,+48782.597394,+15,+407.966+231.079j
2013-07-01 00:32:00 PDT,+48782.597394,+15,+407.966+231.079j
2013-07-01 00:33:00 PDT,+48782.597394,+15,+407.966+231.079j
2013-07-01 00:34:00 PDT,+48782.597394,+15,+407.966+231.079j
2013-07-01 00:35:00 PDT,+48782.597394,+14.9999999984,+408.056+231.131j
2013-07-01 00:36:00 PDT,+48781.4400908,+15,+408.056+231.131j
2013-07-01 00:37:00 PDT,+48781.4400908,+15,+408.055+231.131j
2013-07-01 00:38:00 PDT,+48781.4400908,+15,+408.055+231.131j
2013-07-01 00:39:00 PDT,+48781.4400908,+15,+408.055+231.131j
2013-07-01 00:40:00 PDT,+48781.4401427,+15.0002384157,+407.998+231.087j
2013-07-01 00:41:00 PDT,+48780.2353741,+15,+407.941+231.053j
2013-07-01 00:42:00 PDT,+48780.2353741,+15,+407.941+231.053j
2013-07-01 00:43:00 PDT,+48780.2353741,+15,+407.941+231.053j
2013-07-01 00:44:00 PDT,+48780.2353741,+15,+407.941+231.053j
2013-07-01 00:45:00 PDT,+48780.2353741,+15.0000000012,+407.939+231.065j
2013-07-01 00:46:00 PDT,+53993.1561196,+15,+408.022+230.656j
2013-07-01 00:47:00 PDT,+53993.1561196,+15,+408.022+230.656j
2013-07-01 00:48:00 PDT,+53993.1561196,+15,+408.022+230.656j
2013-07-01 00:49:00 PDT,+53993.1561196,+15.0000000006,+408.025+230.662j
2013-07-01 00:50:00 PDT,+53993.1561116,+14.999963334,+408.071+230.675j
2013-07-01 00:51:00 PDT,+53400.1509133,+15,+408.043+230.711j
2013-07-01 00:52:00 PDT,+53400.1509133,+15,+408.043+230.711j
2013-07-01 00:53:00 PDT,+53400.1509133,+15,+408.043+230.711j
2013-07-01 00:54:00 PDT,+53400.1509128,+14.9999977353,+408.043+230.712j
2013-07-01 00:55:00 PDT,+53400.1509675,+15.0002494737,+408.065+230.716j
2013-07-01 00:56:00 PDT,+53331.5708091,+15,+408.016+230.694j
2013-07-01 00:57:00 PDT,+53331.5708091,+15,+408.016+230.694j
2013-07-01 00:58:00 PDT,+53331.5708091,+15,+408.016+230.694j
2013-07-01 00:59:00 PDT,+53331.5708091,+15,+408.016+230.694j
2013-07-01 01:00:00 PDT,+53331.5708131,+14.9999994104,+408.002+230.693j
2013-07-01 01:01:00 PDT,+53280.3390343,+15,+407.987+230.688j
2013-07-01 01:02:00 PDT,+53280.3390343,+15,+407.988+230.689j
2013-07-01 01:03:00 PDT,+53280.3390343,+15,+407.988+230.689j
2013-07-01 01:04:00 PDT,+53280.3390343,+15,+407.988+230.689j
