# file...... eplus_load.csv
# date...... Fri May 26 17:08:36 2023
# user...... (null)
# host...... (null)
# target.... meter 24
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,measured_real_power,measured_reactive_power,measured_voltage_AB
2013-07-01 00:00:00 PDT,+75000.9999211,+14.9999785432,+417.347+234.178j
2013-07-01 00:01:00 PDT,+75001,+15,+408.033+228.703j
2013-07-01 00:02:00 PDT,+75001,+15,+408.043+228.711j
2013-07-01 00:03:00 PDT,+75001,+15,+408.043+228.711j
2013-07-01 00:04:00 PDT,+75001,+15,+408.043+228.711j
2013-07-01 00:05:00 PDT,+75001,+15,+407.544+228.415j
2013-07-01 00:06:00 PDT,+75000.9999938,+14.9999725953,+407.544+228.415j
2013-07-01 00:07:00 PDT,+75001,+15,+407.544+228.415j
2013-07-01 00:08:00 PDT,+75001,+15,+407.544+228.415j
2013-07-01 00:09:00 PDT,+75001,+15,+407.544+228.415j
2013-07-01 00:10:00 PDT,+75001,+15,+407.575+228.434j
2013-07-01 00:11:00 PDT,+75001,+15,+407.575+228.434j
2013-07-01 00:12:00 PDT,+75001,+15,+407.575+228.434j
2013-07-01 00:13:00 PDT,+75001,+15,+407.575+228.434j
2013-07-01 00:14:00 PDT,+75001,+15,+407.579+228.438j
2013-07-01 00:15:00 PDT,+75001,+15,+407.564+228.43j
2013-07-01 00:16:00 PDT,+75001,+15,+407.564+228.43j
2013-07-01 00:17:00 PDT,+75001,+15,+407.564+228.43j
2013-07-01 00:18:00 PDT,+75001,+15,+407.564+228.43j
2013-07-01 00:19:00 PDT,+75001,+15,+407.564+228.43j
2013-07-01 00:20:00 PDT,+75001,+15,+407.593+228.446j
2013-07-01 00:21:00 PDT,+75001,+15,+407.491+228.376j
2013-07-01 00:22:00 PDT,+75001,+15,+407.493+228.378j
2013-07-01 00:23:00 PDT,+75001,+15,+407.493+228.378j
2013-07-01 00:24:00 PDT,+75001,+15,+407.493+228.378j
2013-07-01 00:25:00 PDT,+75001,+15,+407.412+228.33j
2013-07-01 00:26:00 PDT,+75001,+15,+407.462+228.363j
2013-07-01 00:27:00 PDT,+75001,+15,+407.462+228.363j
2013-07-01 00:28:00 PDT,+75001,+15,+407.462+228.363j
2013-07-01 00:29:00 PDT,+75001,+15,+407.462+228.363j
2013-07-01 00:30:00 PDT,+75001,+15,+407.5+228.386j
2013-07-01 00:31:00 PDT,+75001,+15,+407.499+228.386j
2013-07-01 00:32:00 PDT,+75001,+15,+407.499+228.386j
2013-07-01 00:33:00 PDT,+75001,+15,+407.499+228.386j
2013-07-01 00:34:00 PDT,+75001,+15,+407.499+228.386j
2013-07-01 00:35:00 PDT,+75001,+15,+407.583+228.436j
2013-07-01 00:36:00 PDT,+75001,+15,+407.633+228.471j
2013-07-01 00:37:00 PDT,+75001,+15,+407.633+228.471j
2013-07-01 00:38:00 PDT,+75001,+15,+407.633+228.471j
2013-07-01 00:39:00 PDT,+75001,+15,+407.633+228.471j
2013-07-01 00:40:00 PDT,+75001,+15,+407.613+228.459j
2013-07-01 00:41:00 PDT,+75001,+15,+407.563+228.424j
2013-07-01 00:42:00 PDT,+75001,+15,+407.563+228.424j
2013-07-01 00:43:00 PDT,+75001,+15,+407.563+228.425j
2013-07-01 00:44:00 PDT,+75001,+15,+407.563+228.425j
2013-07-01 00:45:00 PDT,+75001,+15,+407.554+228.42j
2013-07-01 00:46:00 PDT,+75001,+15,+407.506+228.384j
2013-07-01 00:47:00 PDT,+75001,+15,+407.506+228.384j
2013-07-01 00:48:00 PDT,+75001,+15,+407.506+228.384j
2013-07-01 00:49:00 PDT,+75001,+15,+407.509+228.391j
2013-07-01 00:50:00 PDT,+75001,+15,+407.528+228.403j
2013-07-01 00:51:00 PDT,+75001,+15,+407.628+228.475j
2013-07-01 00:52:00 PDT,+75001,+15,+407.628+228.475j
2013-07-01 00:53:00 PDT,+75001,+15,+407.628+228.475j
2013-07-01 00:54:00 PDT,+75000.9999998,+15.0000000011,+407.629+228.475j
2013-07-01 00:55:00 PDT,+75001,+15,+407.725+228.532j
2013-07-01 00:56:00 PDT,+75001,+15,+407.724+228.532j
2013-07-01 00:57:00 PDT,+75001,+15,+407.724+228.532j
2013-07-01 00:58:00 PDT,+75001,+15,+407.724+228.532j
2013-07-01 00:59:00 PDT,+75001,+15,+407.724+228.532j
2013-07-01 01:00:00 PDT,+75001,+15,+407.742+228.543j
2013-07-01 01:01:00 PDT,+75001,+15,+407.574+228.424j
2013-07-01 01:02:00 PDT,+75001,+15,+407.575+228.425j
2013-07-01 01:03:00 PDT,+75001,+15,+407.575+228.425j
2013-07-01 01:04:00 PDT,+75001,+15,+407.575+228.425j
2013-07-01 01:05:00 PDT,+75001,+15,+407.475+228.366j
2013-07-01 01:06:00 PDT,+75000.9996001,+15.0000258011,+407.549+228.42j
2013-07-01 01:07:00 PDT,+75001,+15,+407.551+228.421j
2013-07-01 01:08:00 PDT,+75001,+15,+407.551+228.421j
2013-07-01 01:09:00 PDT,+75001,+15,+407.551+228.421j
2013-07-01 01:10:00 PDT,+75001,+15,+407.555+228.424j
2013-07-01 0
